phase,request,target,targetWord,eventType,instrument,starttime,timestamp,duration,PID,condition,KL,grab,onebyone,count,group1,group2,group3,more,response,spontaneousCounting,right,logic,words,utterances,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,nonnumber,kidaction,actor,flag,flagged
GiveN,Can you put five fish on the plate?,5,five,auto,one,1721152963578,1721153003344,39766,FL2,&,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,two,1721152963578,1721153003708,40130,FL2,&,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,three,1721152963578,1721153004040,40462,FL2,&,,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153007626,44048,FL2,&,,,,1,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,undo,1721152963578,1721153008542,44964,FL2,&,,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153012092,48514,FL2,&,,,,1,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153014792,51214,FL2,&,,,,2,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153018425,54847,FL2,&,,,,3,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153022093,58515,FL2,&,,,,4,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153025193,61615,FL2,&,,,,5,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,toggle,1721152963578,1721153026158,62580,FL2,&,,,,5,,,,,,true,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153026662,63084,FL2,&,,,,5,,,,,,true,1,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153027231,63653,FL2,&,,,,5,,,,,,true,2,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153027501,63923,FL2,&,,,,5,,,,,,true,3,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153027758,64180,FL2,&,,,,5,,,,,,true,4,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153027995,64417,FL2,&,,,,5,,,,,,true,5,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,undo,1721152963578,1721153030209,66631,FL2,&,,,,5,,,,,,true,4,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,undo,1721152963578,1721153030353,66775,FL2,&,,,,5,,,,,,true,3,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,undo,1721152963578,1721153030492,66914,FL2,&,,,,5,,,,,,true,2,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,undo,1721152963578,1721153030619,67041,FL2,&,,,,5,,,,,,true,1,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,undo,1721152963578,1721153031211,67633,FL2,&,,,,5,,,,,,true,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,toggle,1721152963578,1721153031641,68063,FL2,&,,,,5,,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153033431,69853,FL2,&,,,,5,1,,,,,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153033569,69991,FL2,&,,,,5,2,,,,1,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153033705,70127,FL2,&,,,,5,3,,,,2,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153033817,70239,FL2,&,,,,5,4,,,,3,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721152963578,1721153033960,70382,FL2,&,,,,5,5,,,,4,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,trial,trialsubmit,1721152963578,1721153034493,70915,FL2,&,,,,5,5,,,,5,,,,,,true,true,true,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1721153034500,1721153037877,3377,FL2,&,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
