PID,condition,kl,eventType,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,question,comments,flagged
FL1,&,,auto,accumulator,1721755960308,1721755965104,4796,GiveN,Can you put five fish on the plate?,5,five,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755966747,6439,GiveN,Can you put five fish on the plate?,5,five,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755968864,8556,GiveN,Can you put five fish on the plate?,5,five,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755970965,10657,GiveN,Can you put five fish on the plate?,5,five,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755974048,13740,GiveN,Can you put five fish on the plate?,5,five,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755986189,25881,GiveN,Can you put five fish on the plate?,5,five,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755986325,26017,GiveN,Can you put five fish on the plate?,5,five,1,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755986482,26174,GiveN,Can you put five fish on the plate?,5,five,2,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755986578,26270,GiveN,Can you put five fish on the plate?,5,five,3,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755960308,1721755987032,26724,GiveN,Can you put five fish on the plate?,5,five,4,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,trial,trialsubmit,1721755960308,1721755987471,27163,GiveN,Can you put five fish on the plate?,5,five,5,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755989700,2217,GiveN,Can you put six fish on the plate?,6,six,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755991315,3832,GiveN,Can you put six fish on the plate?,6,six,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755992833,5350,GiveN,Can you put six fish on the plate?,6,six,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755994665,7182,GiveN,Can you put six fish on the plate?,6,six,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755996699,9216,GiveN,Can you put six fish on the plate?,6,six,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755998785,11302,GiveN,Can you put six fish on the plate?,6,six,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755999574,12091,GiveN,Can you put six fish on the plate?,6,six,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755999723,12240,GiveN,Can you put six fish on the plate?,6,six,1,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755999849,12366,GiveN,Can you put six fish on the plate?,6,six,2,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721755999973,12490,GiveN,Can you put six fish on the plate?,6,six,3,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721756000249,12766,GiveN,Can you put six fish on the plate?,6,six,4,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721755987483,1721756000578,13095,GiveN,Can you put six fish on the plate?,6,six,5,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,trial,trialsubmit,1721755987483,1721756000999,13516,GiveN,Can you put six fish on the plate?,6,six,6,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721756001010,1721756006599,5589,GiveN,Can you put seven fish on the plate?,7,seven,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721756001010,1721756007603,6593,GiveN,Can you put seven fish on the plate?,7,seven,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721756001010,1721756009116,8106,GiveN,Can you put seven fish on the plate?,7,seven,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721756001010,1721756011183,10173,GiveN,Can you put seven fish on the plate?,7,seven,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721756001010,1721756012766,11756,GiveN,Can you put seven fish on the plate?,7,seven,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721756001010,1721756014749,13739,GiveN,Can you put seven fish on the plate?,7,seven,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
FL1,&,,auto,accumulator,1721756001010,1721756017815,16805,GiveN,Can you put seven fish on the plate?,7,seven,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
