PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,comments,flagged
FL2,&,,auto,,accumulator,1722102865342,1722102875114,9772,GiveN,Can you put five fish on the plate?,5,five,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102875200,9858,GiveN,Can you put five fish on the plate?,5,five,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102875924,10582,GiveN,Can you put five fish on the plate?,5,five,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102877357,12015,GiveN,Can you put five fish on the plate?,5,five,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102878458,13116,GiveN,Can you put five fish on the plate?,5,five,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102879941,14599,GiveN,Can you put five fish on the plate?,5,five,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102880059,14717,GiveN,Can you put five fish on the plate?,5,five,1,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102880186,14844,GiveN,Can you put five fish on the plate?,5,five,2,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102880294,14952,GiveN,Can you put five fish on the plate?,5,five,3,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102880420,15078,GiveN,Can you put five fish on the plate?,5,five,4,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,accumulator,1722102865342,1722102880774,15432,GiveN,Can you put five fish on the plate?,5,five,5,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,
FL2,&,,auto,,undo,1722102865342,1722102881324,15982,GiveN,Can you put five fish on the plate?,5,five,6,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
