PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,comments,flagged
Other3,-,,auto,,accumulator,1722359507342,1722359588106,80764,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359507342,1722359588248,80906,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359507342,1722359588390,81048,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359507342,1722359588515,81173,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359507342,1722359588962,81620,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,,trialsubmit,1722359507342,1722359589423,82081,GiveN,Can you put five fish on the plate?,5,five,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359589427,1722359610413,20986,GiveN,Can you put six fish on the plate?,6,six,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359589427,1722359610579,21152,GiveN,Can you put six fish on the plate?,6,six,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359589427,1722359610821,21394,GiveN,Can you put six fish on the plate?,6,six,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359589427,1722359611253,21826,GiveN,Can you put six fish on the plate?,6,six,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359589427,1722359611646,22219,GiveN,Can you put six fish on the plate?,6,six,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359589427,1722359612035,22608,GiveN,Can you put six fish on the plate?,6,six,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,,trialsubmit,1722359589427,1722359619128,29701,GiveN,Can you put six fish on the plate?,6,six,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359630485,11353,GiveN,Can you put seven fish on the plate?,7,seven,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359632760,13628,GiveN,Can you put seven fish on the plate?,7,seven,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359633243,14111,GiveN,Can you put seven fish on the plate?,7,seven,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359633727,14595,GiveN,Can you put seven fish on the plate?,7,seven,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359634169,15037,GiveN,Can you put seven fish on the plate?,7,seven,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359634576,15444,GiveN,Can you put seven fish on the plate?,7,seven,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359634953,15821,GiveN,Can you put seven fish on the plate?,7,seven,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,speech_act,,distracted,1722359619132,1722359642575,23443,GiveN,Can you put seven fish on the plate?,7,seven,7,,,,,7,,,,,,,,,,,,,,,,,,true,,,,,,
Other3,-,,speech_act,,question,1722359619132,1722359643901,24769,GiveN,Can you put seven fish on the plate?,7,seven,7,,,,,7,,,,,,,,,,,,,,,,,,true,true,,,,,
Other3,-,,toggle,,kidaction,1722359619132,1722359659400,40268,GiveN,Can you put seven fish on the plate?,7,seven,7,true,,,,7,,,,,,,,,,,,,,,,,,true,true,,,,,
Other3,-,,auto,,undo,1722359619132,1722359659918,40786,GiveN,Can you put seven fish on the plate?,7,seven,7,true,,,,6,,,,,,,,,,,,,,,,,,true,true,,,,,
Other3,-,,toggle,,kidaction,1722359619132,1722359682229,63097,GiveN,Can you put seven fish on the plate?,7,seven,6,,,,,6,,,,,,,,,,,,,,,,,,true,true,,,,,
Other3,-,,auto,,accumulator,1722359619132,1722359682789,63657,GiveN,Can you put seven fish on the plate?,7,seven,6,,,,,7,,,,,,,,,,,,,,,,,,true,true,,,,,
Other3,-,,trial,,trialsubmit,1722359619132,1722359683598,64466,GiveN,Can you put seven fish on the plate?,7,seven,7,,,,,7,,,,,,,,,,,,,,,,,,true,true,,,,,
Other3,-,,auto,,accumulator,1722359683602,1722359822644,139042,Train,Now its your turn to make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359683602,1722359823118,139516,Train,Now its your turn to make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359683602,1722359823435,139833,Train,Now its your turn to make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,,accumulator,1722359683602,1722359823859,140257,Train,Now its your turn to make... zo bananas?,3,zo,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,,trialsubmit,1722359683602,1722359824752,141150,Train,Now its your turn to make... zo bananas?,3,zo,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,1,accumulator,1722359824754,1722359857350,32596,Train,Now its your turn to make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,1,trialsubmit,1722359824754,1722359858380,33626,Train,Now its your turn to make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,2,accumulator,1722359858382,1722359876964,18582,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,2,trialsubmit,1722359858382,1722359905793,47411,Train,How fast can you make... zo bananas?,3,zo,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,3,accumulator,1722359905800,1722359912381,6581,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,3,trialsubmit,1722359905800,1722359912760,6960,Train,How fast can you make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,4,accumulator,1722359912762,1722359923835,11073,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,4,accumulator,1722359912762,1722359923981,11219,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,4,accumulator,1722359912762,1722359924123,11361,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,4,trialsubmit,1722359912762,1722359924833,12071,Train,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,5,accumulator,1722359924836,1722359937508,12672,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,5,accumulator,1722359924836,1722359940716,15880,Train,How fast can you make... gi banana?,1,gi,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,5,accumulator,1722359924836,1722359943807,18971,Train,How fast can you make... gi banana?,1,gi,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,5,trialsubmit,1722359924836,1722359945107,20271,Train,How fast can you make... gi banana?,1,gi,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,6,accumulator,1722359945109,1722359971062,25953,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,6,accumulator,1722359945109,1722359971222,26113,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,6,accumulator,1722359945109,1722359971363,26254,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,6,trialsubmit,1722359945109,1722359971871,26762,Train,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,auto,7,accumulator,1722359971873,1722359978028,6155,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,trial,7,trialsubmit,1722359971873,1722359979121,7248,Train,How fast can you make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other3,-,,speech_act,8,distracted,1722359979123,1722360016541,37418,Main,Another Monkey number is... zozo bananas.,6,zozo,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
Other3,-,,auto,8,accumulator,1722359979123,1722360041414,62291,Main,Another Monkey number is... zozo bananas.,6,zozo,,,,,,1,,,,,,,,,,,,,,,,,,true,,,,,Very hyperactive,
Other3,-,,auto,8,accumulator,1722359979123,1722360041581,62458,Main,Another Monkey number is... zozo bananas.,6,zozo,1,,,,,2,,,,,,,,,,,,,,,,,,true,,,,,Very hyperactive,
Other3,-,,auto,8,accumulator,1722359979123,1722360041923,62800,Main,Another Monkey number is... zozo bananas.,6,zozo,2,,,,,3,,,,,,,,,,,,,,,,,,true,,,,,Very hyperactive,
