PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
CT4,&,,auto,,accumulator,1723567967767,1723567984814,17047,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723567967767,1723568001865,34098,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723567967767,1723568002280,34513,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723567967767,1723568002764,34997,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723567967767,1723568003147,35380,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,trial,,trialsubmit,1723567967767,1723568004162,36395,GiveN,Can you put five fish on the plate?,5,five,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568004163,1723568032514,28351,GiveN,Can you put six fish on the plate?,6,six,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568004163,1723568032661,28498,GiveN,Can you put six fish on the plate?,6,six,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568004163,1723568032851,28688,GiveN,Can you put six fish on the plate?,6,six,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568004163,1723568033081,28918,GiveN,Can you put six fish on the plate?,6,six,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568004163,1723568033281,29118,GiveN,Can you put six fish on the plate?,6,six,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568004163,1723568033564,29401,GiveN,Can you put six fish on the plate?,6,six,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,trial,,trialsubmit,1723568004163,1723568034547,30384,GiveN,Can you put six fish on the plate?,6,six,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568060428,25880,GiveN,Can you put seven fish on the plate?,7,seven,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568060571,26023,GiveN,Can you put seven fish on the plate?,7,seven,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568060711,26163,GiveN,Can you put seven fish on the plate?,7,seven,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568060878,26330,GiveN,Can you put seven fish on the plate?,7,seven,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568061031,26483,GiveN,Can you put seven fish on the plate?,7,seven,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568061211,26663,GiveN,Can you put seven fish on the plate?,7,seven,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568061377,26829,GiveN,Can you put seven fish on the plate?,7,seven,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
CT4,&,,auto,,accumulator,1723568034548,1723568122897,88349,GiveN,Can you put seven fish on the plate?,7,seven,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,"10",
CT4,&,,auto,,accumulator,1723568034548,1723568123044,88496,GiveN,Can you put seven fish on the plate?,7,seven,8,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,"10",
CT4,&,,auto,,accumulator,1723568034548,1723568123193,88645,GiveN,Can you put seven fish on the plate?,7,seven,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,"10",
