PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
CT5,-,,auto,,accumulator,1723568867821,1723568886690,18869,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568867821,1723568894039,26218,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568867821,1723568895207,27386,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568867821,1723568898343,30522,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568867821,1723568899040,31219,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,toggle,,eyes,1723568867821,1723568900558,32737,GiveN,Can you put five fish on the plate?,5,five,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,auto,,accumulator,1723568867821,1723568902356,34535,GiveN,Can you put five fish on the plate?,5,five,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,auto,,accumulator,1723568867821,1723568907906,40085,GiveN,Can you put five fish on the plate?,5,five,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,auto,,accumulator,1723568867821,1723568908075,40254,GiveN,Can you put five fish on the plate?,5,five,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,auto,,accumulator,1723568867821,1723568908224,40403,GiveN,Can you put five fish on the plate?,5,five,8,,,,,9,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,auto,,accumulator,1723568867821,1723568908372,40551,GiveN,Can you put five fish on the plate?,5,five,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,auto,,accumulator,1723568867821,1723568908506,40685,GiveN,Can you put five fish on the plate?,5,five,10,,,,,11,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,trial,,trialsubmit,1723568867821,1723568926741,58920,GiveN,Can you put five fish on the plate?,5,five,11,,,,,11,,,,,,,,,,,,,,,,,,,,,,,true,,
CT5,-,,auto,,accumulator,1723568926742,1723568944341,17599,GiveN,Can you put four fish on the plate?,4,four,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568926742,1723568944559,17817,GiveN,Can you put four fish on the plate?,4,four,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568926742,1723568944757,18015,GiveN,Can you put four fish on the plate?,4,four,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568926742,1723568945308,18566,GiveN,Can you put four fish on the plate?,4,four,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568926742,1723568945511,18769,GiveN,Can you put four fish on the plate?,4,four,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT5,-,,auto,,accumulator,1723568926742,1723568946496,19754,GiveN,Can you put four fish on the plate?,4,four,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
