PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
CT7,-,,auto,,accumulator,1723570819773,1723570839104,19331,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570819773,1723570839303,19530,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570819773,1723570842454,22681,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570819773,1723570844438,24665,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570819773,1723570846304,26531,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,,trialsubmit,1723570819773,1723570847590,27817,GiveN,Can you put five fish on the plate?,5,five,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570847591,1723570863071,15480,GiveN,Can you put six fish on the plate?,6,six,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570847591,1723570863220,15629,GiveN,Can you put six fish on the plate?,6,six,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570847591,1723570863388,15797,GiveN,Can you put six fish on the plate?,6,six,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570847591,1723570863538,15947,GiveN,Can you put six fish on the plate?,6,six,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570847591,1723570863954,16363,GiveN,Can you put six fish on the plate?,6,six,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570847591,1723570864320,16729,GiveN,Can you put six fish on the plate?,6,six,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,,trialsubmit,1723570847591,1723570865653,18062,GiveN,Can you put six fish on the plate?,6,six,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570865654,1723570876354,10700,GiveN,Can you put seven fish on the plate?,7,seven,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570865654,1723570876828,11174,GiveN,Can you put seven fish on the plate?,7,seven,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,,accumulator,1723570865654,1723570877486,11832,GiveN,Can you put seven fish on the plate?,7,seven,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,speech_act,,distracted,1723570865654,1723570882005,16351,GiveN,Can you put seven fish on the plate?,7,seven,3,,,,,3,,,,,,,,,,,,,,,,,,true,,,,,,,
CT7,-,,auto,,accumulator,1723570865654,1723570882955,17301,GiveN,Can you put seven fish on the plate?,7,seven,3,,,,,4,,,,,,,,,,,,,,,,,,true,,,,,,,
CT7,-,,auto,,accumulator,1723570865654,1723570888887,23233,GiveN,Can you put seven fish on the plate?,7,seven,4,,,,,5,,,,,,,,,,,,,,,,,,true,,,,,,,
CT7,-,,auto,,accumulator,1723570865654,1723570889522,23868,GiveN,Can you put seven fish on the plate?,7,seven,5,,,,,6,,,,,,,,,,,,,,,,,,true,,,,,,,
CT7,-,,auto,,accumulator,1723570865654,1723570890120,24466,GiveN,Can you put seven fish on the plate?,7,seven,6,,,,,7,,,,,,,,,,,,,,,,,,true,,,,,,,
CT7,-,,trial,,trialsubmit,1723570865654,1723570969557,103903,GiveN,Can you put seven fish on the plate?,7,seven,7,,,,,7,,,,,,,,,,,,,,,,,,true,,,,,,,
CT7,-,,active,,save_button,1723570969559,1723570997006,27447,Train,Now its your turn to make... zo bananas?,3,zo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,did not want to continue playing the game,
CT7,-,,auto,,accumulator,1723570969559,1723571411390,441831,Train,Now its your turn to make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,came back and asked to continue game,
CT7,-,,auto,,accumulator,1723570969559,1723571411557,441998,Train,Now its your turn to make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,came back and asked to continue game,
CT7,-,,auto,,accumulator,1723570969559,1723571411858,442299,Train,Now its your turn to make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,came back and asked to continue game,
CT7,-,,trial,,trialsubmit,1723570969559,1723571417391,447832,Train,Now its your turn to make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,came back and asked to continue game,
CT7,-,,auto,1,accumulator,1723571417392,1723571443091,25699,Train,Now its your turn to make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,1,trialsubmit,1723571417392,1723571445743,28351,Train,Now its your turn to make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,2,accumulator,1723571445744,1723571458557,12813,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,2,accumulator,1723571445744,1723571459858,14114,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,2,accumulator,1723571445744,1723571461223,15479,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,2,trialsubmit,1723571445744,1723571462608,16864,Train,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,3,accumulator,1723571462608,1723571468639,6031,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,3,trialsubmit,1723571462608,1723571469791,7183,Train,How fast can you make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,4,accumulator,1723571469792,1723571475825,6033,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,4,accumulator,1723571469792,1723571476024,6232,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,4,accumulator,1723571469792,1723571476223,6431,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,4,trialsubmit,1723571469792,1723571478958,9166,Train,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,5,accumulator,1723571478959,1723571484990,6031,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,5,trialsubmit,1723571478959,1723571485926,6967,Train,How fast can you make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,6,accumulator,1723571485927,1723571492640,6713,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,6,accumulator,1723571485927,1723571492823,6896,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,6,accumulator,1723571485927,1723571493024,7097,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,6,accumulator,1723571485927,1723571493341,7414,Train,How fast can you make... zo bananas?,3,zo,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,6,undo,1723571485927,1723571494257,8330,Train,How fast can you make... zo bananas?,3,zo,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,6,trialsubmit,1723571485927,1723571496124,10197,Train,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,7,accumulator,1723571496125,1723571502606,6481,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,7,trialsubmit,1723571496125,1723571503623,7498,Train,How fast can you make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,8,accumulator,1723571503623,1723571523542,19919,Main,Another Monkey number is... zozo bananas.,6,zozo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,8,accumulator,1723571503623,1723571525640,22017,Main,Another Monkey number is... zozo bananas.,6,zozo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,8,accumulator,1723571503623,1723571527140,23517,Main,Another Monkey number is... zozo bananas.,6,zozo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,8,trialsubmit,1723571503623,1723571529673,26050,Main,Another Monkey number is... zozo bananas.,6,zozo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,9,accumulator,1723571529674,1723571536290,6616,Main,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,9,accumulator,1723571529674,1723571536442,6768,Main,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,9,accumulator,1723571529674,1723571536607,6933,Main,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,9,trialsubmit,1723571529674,1723571541859,12185,Main,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,10,accumulator,1723571541860,1723571547530,5670,Main,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,10,trialsubmit,1723571541860,1723571548429,6569,Main,How fast can you make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,11,accumulator,1723571548429,1723571557251,8822,Main,Another Monkey number is... zogi bananas.,4,zogi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,trial,11,trialsubmit,1723571548429,1723571559786,11357,Main,Another Monkey number is... zogi bananas.,4,zogi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,12,accumulator,1723571559787,1723571564041,4254,Main,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CT7,-,,auto,12,accumulator,1723571559787,1723571564219,4432,Main,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
