PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
KA1,-,,auto,,accumulator,1724775386292,1724775503790,117498,GiveN,Can you put five fish on the plate?,5,five,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775386292,1724775503968,117676,GiveN,Can you put five fish on the plate?,5,five,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775386292,1724775504117,117825,GiveN,Can you put five fish on the plate?,5,five,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775386292,1724775504632,118340,GiveN,Can you put five fish on the plate?,5,five,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775386292,1724775505123,118831,GiveN,Can you put five fish on the plate?,5,five,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775386292,1724775505724,119432,GiveN,Can you put five fish on the plate?,5,five,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,trial,,trialsubmit,1724775386292,1724775603430,217138,GiveN,Can you put five fish on the plate?,5,five,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775603434,1724775616757,13323,GiveN,Can you put four fish on the plate?,4,four,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775603434,1724775616965,13531,GiveN,Can you put four fish on the plate?,4,four,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775603434,1724775617140,13706,GiveN,Can you put four fish on the plate?,4,four,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775603434,1724775617332,13898,GiveN,Can you put four fish on the plate?,4,four,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA1,-,,auto,,accumulator,1724775603434,1724775620721,17287,GiveN,Can you put four fish on the plate?,4,four,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
