PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
KA3,&,,auto,,accumulator,1724777268592,1724777367325,98733,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777367491,98899,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777367632,99040,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777367759,99167,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777369858,101266,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777370172,101580,GiveN,Can you put five fish on the plate?,5,five,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777374706,106114,GiveN,Can you put five fish on the plate?,5,five,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777376021,107429,GiveN,Can you put five fish on the plate?,5,five,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777380963,112371,GiveN,Can you put five fish on the plate?,5,five,8,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
KA3,&,,auto,,accumulator,1724777268592,1724777386463,117871,GiveN,Can you put five fish on the plate?,5,five,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
