PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
KA4,-,,auto,,accumulator,1724777944342,1724777963204,18862,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA4,-,,auto,,accumulator,1724777944342,1724777963361,19019,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA4,-,,auto,,accumulator,1724777944342,1724777963495,19153,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA4,-,,auto,,accumulator,1724777944342,1724777963928,19586,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
KA4,-,,toggle,,eyes,1724777944342,1724777967611,23269,GiveN,Can you put five fish on the plate?,5,five,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,true,,
KA4,-,,auto,,accumulator,1724777944342,1724777989315,44973,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,true,,
KA4,-,,auto,,accumulator,1724777944342,1724777989477,45135,GiveN,Can you put five fish on the plate?,5,five,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,true,,
KA4,-,,auto,,accumulator,1724777944342,1724777989867,45525,GiveN,Can you put five fish on the plate?,5,five,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,true,,
KA4,-,,auto,,accumulator,1724777944342,1724777990289,45947,GiveN,Can you put five fish on the plate?,5,five,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,true,,
KA4,-,,trial,,trialsubmit,1724777944342,1724777997949,53607,GiveN,Can you put five fish on the plate?,5,five,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,true,,
KA4,-,,auto,,accumulator,1724777997953,1724778007350,9397,GiveN,Can you put four fish on the plate?,4,four,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA4,-,,auto,,accumulator,1724777997953,1724778007517,9564,GiveN,Can you put four fish on the plate?,4,four,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
