PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
KA6,&,,auto,,accumulator,1724779412287,1724779436235,23948,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779436394,24107,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779436525,24238,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779438744,26457,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779438919,26632,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779471316,59029,GiveN,Can you put five fish on the plate?,5,five,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779474432,62145,GiveN,Can you put five fish on the plate?,5,five,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779475288,63001,GiveN,Can you put five fish on the plate?,5,five,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779481934,69647,GiveN,Can you put five fish on the plate?,5,five,8,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779482282,69995,GiveN,Can you put five fish on the plate?,5,five,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779499281,86994,GiveN,Can you put five fish on the plate?,5,five,10,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779412287,1724779499414,87127,GiveN,Can you put five fish on the plate?,5,five,11,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779412287,1724779526943,114656,GiveN,Can you put five fish on the plate?,5,five,12,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,“Kayline’,
KA6,&,,auto,,accumulator,1724779526946,1724779589538,62592,GiveN,Can you put four fish on the plate?,4,four,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779526946,1724779589705,62759,GiveN,Can you put four fish on the plate?,4,four,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779526946,1724779589864,62918,GiveN,Can you put four fish on the plate?,4,four,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779526946,1724779590604,63658,GiveN,Can you put four fish on the plate?,4,four,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779526946,1724779603385,76439,GiveN,Can you put four fish on the plate?,4,four,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779526946,1724779603720,76774,GiveN,Can you put four fish on the plate?,4,four,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779526946,1724779604312,77366,GiveN,Can you put four fish on the plate?,4,four,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779526946,1724779605274,78328,GiveN,Can you put four fish on the plate?,4,four,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779605277,1724779620328,15051,GiveN,Can you put three fish on the plate?,3,three,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779605277,1724779620486,15209,GiveN,Can you put three fish on the plate?,3,three,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779605277,1724779643125,37848,GiveN,Can you put three fish on the plate?,3,three,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779643129,1724779651382,8253,GiveN,Can you put two fish on the plate?,2,two,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779643129,1724779651532,8403,GiveN,Can you put two fish on the plate?,2,two,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779643129,1724779653538,10409,GiveN,Can you put two fish on the plate?,2,two,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779653541,1724779662776,9235,GiveN,Can you put three fish on the plate?,3,three,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779653541,1724779662915,9374,GiveN,Can you put three fish on the plate?,3,three,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779653541,1724779679443,25902,GiveN,Can you put three fish on the plate?,3,three,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779679446,1724779684436,4990,GiveN,Can you put two fish on the plate?,2,two,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779679446,1724779684570,5124,GiveN,Can you put two fish on the plate?,2,two,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779679446,1724779684954,5508,GiveN,Can you put two fish on the plate?,2,two,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779684957,1724779714552,29595,GiveN,Can you put three fish on the plate?,3,three,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779684957,1724779714710,29753,GiveN,Can you put three fish on the plate?,3,three,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779684957,1724779715015,30058,GiveN,Can you put three fish on the plate?,3,three,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779715018,1724779721160,6142,GiveN,Can you put two fish on the plate?,2,two,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779715018,1724779721299,6281,GiveN,Can you put two fish on the plate?,2,two,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779715018,1724779724109,9091,GiveN,Can you put two fish on the plate?,2,two,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779724112,1724779731929,7817,GiveN,Can you put three fish on the plate?,3,three,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779724112,1724779732083,7971,GiveN,Can you put three fish on the plate?,3,three,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779724112,1724779742132,18020,GiveN,Can you put three fish on the plate?,3,three,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779742135,1724779747449,5314,GiveN,Can you put two fish on the plate?,2,two,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779742135,1724779747592,5457,GiveN,Can you put two fish on the plate?,2,two,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779742135,1724779749680,7545,GiveN,Can you put two fish on the plate?,2,two,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779749684,1724779767148,17464,GiveN,Can you put three fish on the plate?,3,three,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779749684,1724779767313,17629,GiveN,Can you put three fish on the plate?,3,three,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779749684,1724779768368,18684,GiveN,Can you put three fish on the plate?,3,three,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779768370,1724779776113,7743,GiveN,Can you put two fish on the plate?,2,two,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779768370,1724779776253,7883,GiveN,Can you put two fish on the plate?,2,two,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779768370,1724779776652,8282,GiveN,Can you put two fish on the plate?,2,two,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779776654,1724779786288,9634,GiveN,Can you put three fish on the plate?,3,three,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779776654,1724779786487,9833,GiveN,Can you put three fish on the plate?,3,three,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779776654,1724779788403,11749,GiveN,Can you put three fish on the plate?,3,three,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779788407,1724779796337,7930,GiveN,Can you put two fish on the plate?,2,two,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,accumulator,1724779788407,1724779796486,8079,GiveN,Can you put two fish on the plate?,2,two,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,,trialsubmit,1724779788407,1724779796795,8388,GiveN,Can you put two fish on the plate?,2,two,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,,clicktrial,1724779796798,1724779823508,26710,GiveN,Can you put three fish on the plate?,3,three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,0,accumulator,1724779823510,1724779892066,68556,Train,Now its your turn to make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,0,trialsubmit,1724779823510,1724779893072,69562,Train,Now its your turn to make... zo bananas?,3,zo,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,1,accumulator,1724779893073,1724779954059,60986,Train,Now its your turn to make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,1,trialsubmit,1724779893073,1724779954342,61269,Train,Now its your turn to make... gi banana?,1,gi,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,2,accumulator,1724779954343,1724779965630,11287,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,2,accumulator,1724779954343,1724779965780,11437,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,2,accumulator,1724779954343,1724779965921,11578,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,2,trialsubmit,1724779954343,1724779966268,11925,Train,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,3,accumulator,1724779966269,1724779975884,9615,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,3,accumulator,1724779966269,1724779976042,9773,Train,How fast can you make... gi banana?,1,gi,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,3,accumulator,1724779966269,1724779976168,9899,Train,How fast can you make... gi banana?,1,gi,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,3,accumulator,1724779966269,1724779976666,10397,Train,How fast can you make... gi banana?,1,gi,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,3,accumulator,1724779966269,1724779976959,10690,Train,How fast can you make... gi banana?,1,gi,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,3,trialsubmit,1724779966269,1724779977266,10997,Train,How fast can you make... gi banana?,1,gi,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,4,accumulator,1724779977268,1724779983328,6060,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,4,accumulator,1724779977268,1724779983486,6218,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,4,accumulator,1724779977268,1724779983610,6342,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,4,trialsubmit,1724779977268,1724779984082,6814,Train,How fast can you make... zo bananas?,3,zo,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,5,accumulator,1724779984084,1724780001259,17175,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,5,accumulator,1724779984084,1724780001401,17317,Train,How fast can you make... gi banana?,1,gi,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,5,accumulator,1724779984084,1724780001523,17439,Train,How fast can you make... gi banana?,1,gi,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,5,trialsubmit,1724779984084,1724780001847,17763,Train,How fast can you make... gi banana?,1,gi,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,6,accumulator,1724780001848,1724780015372,13524,Train,How fast can you make... zo bananas?,3,zo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,6,accumulator,1724780001848,1724780015524,13676,Train,How fast can you make... zo bananas?,3,zo,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,6,accumulator,1724780001848,1724780015665,13817,Train,How fast can you make... zo bananas?,3,zo,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,6,accumulator,1724780001848,1724780015799,13951,Train,How fast can you make... zo bananas?,3,zo,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,6,accumulator,1724780001848,1724780016504,14656,Train,How fast can you make... zo bananas?,3,zo,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,6,trialsubmit,1724780001848,1724780018012,16164,Train,How fast can you make... zo bananas?,3,zo,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,7,accumulator,1724780018014,1724780029822,11808,Train,How fast can you make... gi banana?,1,gi,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,7,accumulator,1724780018014,1724780029971,11957,Train,How fast can you make... gi banana?,1,gi,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,7,accumulator,1724780018014,1724780030289,12275,Train,How fast can you make... gi banana?,1,gi,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,7,accumulator,1724780018014,1724780030440,12426,Train,How fast can you make... gi banana?,1,gi,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,7,accumulator,1724780018014,1724780030715,12701,Train,How fast can you make... gi banana?,1,gi,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,7,accumulator,1724780018014,1724780031415,13401,Train,How fast can you make... gi banana?,1,gi,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,7,accumulator,1724780018014,1724780031731,13717,Train,How fast can you make... gi banana?,1,gi,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,7,trialsubmit,1724780018014,1724780045176,27162,Train,How fast can you make... gi banana?,1,gi,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,20,accumulator,1724780045178,1724780075424,30246,Main,Another Giraffe number is... three-two bananas.,5,three-two,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,20,accumulator,1724780045178,1724780082609,37431,Main,Another Giraffe number is... three-two bananas.,5,three-two,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,20,trialsubmit,1724780045178,1724780084185,39007,Main,Another Giraffe number is... three-two bananas.,5,three-two,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,21,accumulator,1724780084186,1724780098735,14549,Main,Another Giraffe number is... three-one bananas.,4,three-one,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,21,accumulator,1724780084186,1724780099000,14814,Main,Another Giraffe number is... three-one bananas.,4,three-one,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,trial,21,trialsubmit,1724780084186,1724780100330,16144,Main,Another Giraffe number is... three-one bananas.,4,three-one,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,22,accumulator,1724780100332,1724780107358,7026,Main,Another Giraffe number is... three-three bananas.,6,three-three,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
KA6,&,,auto,22,accumulator,1724780100332,1724780107758,7426,Main,Another Giraffe number is... three-three bananas.,6,three-three,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
