,PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
0,FL3,-,,auto,,accumulator,1724881768066,1724881776242,8176,GiveN,Can you put five fish on the plate?,5,five,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FL3,-,,auto,,accumulator,1724881768066,1724881776472,8406,GiveN,Can you put five fish on the plate?,5,five,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,FL3,-,,auto,,accumulator,1724881768066,1724881777182,9116,GiveN,Can you put five fish on the plate?,5,five,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,FL3,-,,auto,,accumulator,1724881768066,1724881777606,9540,GiveN,Can you put five fish on the plate?,5,five,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,FL3,-,,auto,,accumulator,1724881768066,1724881778858,10792,GiveN,Can you put five fish on the plate?,5,five,2.0,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,FL3,-,,auto,,accumulator,1724881768066,1724881779213,11147,GiveN,Can you put five fish on the plate?,5,five,2.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,FL3,-,,auto,,accumulator,1724881768066,1724881780720,12654,GiveN,Can you put five fish on the plate?,5,five,3.0,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,FL3,-,,auto,,accumulator,1724881768066,1724881781412,13346,GiveN,Can you put five fish on the plate?,5,five,3.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,FL3,-,,auto,,accumulator,1724881768066,1724881782797,14731,GiveN,Can you put five fish on the plate?,5,five,4.0,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,FL3,-,,auto,,accumulator,1724881768066,1724881783519,15453,GiveN,Can you put five fish on the plate?,5,five,4.0,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,FL3,-,,auto,,accumulator,1724881768066,1724881788020,19954,GiveN,Can you put five fish on the plate?,5,five,5.0,,,5.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,FL3,-,,auto,,accumulator,1724881768066,1724881788608,20542,GiveN,Can you put five fish on the plate?,5,five,5.0,,,5.0,,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
12,FL3,-,,auto,,accumulator,1724881768066,1724881789195,21129,GiveN,Can you put five fish on the plate?,5,five,5.0,,,5.0,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
13,FL3,-,,auto,,accumulator,1724881768066,1724881789702,21636,GiveN,Can you put five fish on the plate?,5,five,5.0,,,5.0,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,
14,FL3,-,,auto,,accumulator,1724881768066,1724881790246,22180,GiveN,Can you put five fish on the plate?,5,five,5.0,,,5.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,
15,FL3,-,,trial,,trialsubmit,1724881768066,1724881791665,23599,GiveN,Can you put five fish on the plate?,5,five,5.0,,,5.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,
16,FL3,-,,auto,,accumulator,1724881791696,1724881797049,5353,GiveN,Can you put six fish on the plate?,6,six,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FL3,-,,auto,,undo,1724881791696,1724881797575,5879,GiveN,Can you put six fish on the plate?,6,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FL3,-,,auto,,accumulator,1724881791696,1724881797831,6135,GiveN,Can you put six fish on the plate?,6,six,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FL3,-,,auto,,accumulator,1724881791696,1724881798015,6319,GiveN,Can you put six fish on the plate?,6,six,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,FL3,-,,auto,,accumulator,1724881791696,1724881798325,6629,GiveN,Can you put six fish on the plate?,6,six,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,FL3,-,,auto,,accumulator,1724881791696,1724881798499,6803,GiveN,Can you put six fish on the plate?,6,six,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
