PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,eyes,comments,flagged
FL3,-,,auto,,accumulator,1725389229395,1725389231953,2558,GiveN,Can you put five fish on the plate?,5,five,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389232068,2673,GiveN,Can you put five fish on the plate?,5,five,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389232193,2798,GiveN,Can you put five fish on the plate?,5,five,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389240433,11038,GiveN,Can you put five fish on the plate?,5,five,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389240588,11193,GiveN,Can you put five fish on the plate?,5,five,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389240743,11348,GiveN,Can you put five fish on the plate?,5,five,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389240852,11457,GiveN,Can you put five fish on the plate?,5,five,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389241577,12182,GiveN,Can you put five fish on the plate?,5,five,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389241718,12323,GiveN,Can you put five fish on the plate?,5,five,1,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389241848,12453,GiveN,Can you put five fish on the plate?,5,five,2,,,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389241961,12566,GiveN,Can you put five fish on the plate?,5,five,3,,,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389242060,12665,GiveN,Can you put five fish on the plate?,5,five,4,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389242423,13028,GiveN,Can you put five fish on the plate?,5,five,5,,,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1725389229395,1725389242877,13482,GiveN,Can you put five fish on the plate?,5,five,6,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,speech_act,,parent,1725389229395,1725389249468,20073,GiveN,Can you put five fish on the plate?,5,five,7,,,7,,7,,,,,,,,,,,,,,,,,,,,true,,,,,
