,loc,id,dob,dot,age_y,age_m,sex,language,bilingual,video1,video2,contact,videos,aka,expr,cond,excl,notes,have_csv,missing_trials,,
20240713_FL1,FL,1,2020-05-08,2024-07-13,4y 2m,50.16666667,F,English,Russian,Y,Y,Y,1,FL-A-01,VT,CAT,,,,,,
20240713_FL2,FL,2,2020-06-15,2024-07-13,4y 0m,48.93333333,M,English,N,Y,N,Y,2,FL-LC-02,VT,CAT,,went to bathroom halfway through,,,,
20240713_FL3,FL,3,2020-12-27,2024-07-13,3y 6m,42.53333333,M,English,Spanish,Y,Y,Y,0,FL-R-03,VT,na,,,,,,
20240713_FL4,FL,4,2019-06-01,2024-07-13,5y 1m,61.4,M,English,N,N,N,N,0,FL-JS-04,VT,CAT,,,,,,
20240713_FL5,FL,5,2019-09-09,2024-07-13,4y 10m,58.13333333,F,English,N,Y,Y,Y,1,FL-W-05,VT,CAT,,,,,,
20240713_FL6,FL,6,2019-01-29,2024-07-13,5y 5m,65.46666667,M,Chinese,English,Y,Y,na,1,FL-AS-06,VT,CAT,,,,,,
20240713_FL7,FL,7,2019-04-01,2024-07-13,5y 3m,63.4,F,English,na,Y,Y,N,1,FL-EM-07,VT,CAT,,,,,,
20240716_FL1,FL,1,2019-05-08,2024-07-16,5y 2 m,62,F,English,N,Y,N,Y,1,FL-L-01,RA,CAT,,"no handwritten notes, but yes video",,,,annotate video
20240716_FL2,FL,2,2021-02-05,2024-07-16,3y  5m,41,M,English,N,Y,Y,Y,0,FL-E-02,LM or RA,CAT,,,,,,
20240716_FL3,FL,3,2019-01-31,2024-07-16,4y 6m,54,M,English,N,Y,Y,N,1,FL-J-03,LM,CAT,,handwritten notes-now digitized,yes,,,annotate video AND/OR digitize from notes
20240716_FL4,FL,4,2021-05-29,2024-07-16,3y 1m,37.56666667,M,English,Y,N,N,Y,0,FL-AL-04,LM,CAT,,handwritten notes-now digitized,yes,zogi2 zozo2,,digitize from notes
20240716_FL5,FL,5,2020-10-16,2024-07-16,3y 9m,45,M,English,N,Y,N,N,1,FL-NN-05,RA,CAT,,practice annotation on 8/Aug,,,,
20240717_FL1,FL,1,2021-11-02,2024-07-17,2y 8m,32.5,F,English,Spanish,Y,N,N,1,FL-CS-01,VT,CAT,,"marked in CSV as AND, but not intended to be",,,,
20240717_FL2,FL,2,2021-03-15,2024-07-17,3y 4m,40.06666667,M,English,N,Y,Y,N,1,FL-CT-02,RA,CAT,,"marked in CSV as AND, but not intended to be",,zogi2; make_zo; zozo2,,
20240717_FL3,FL,3,2019-09-05,2024-07-17,4y 10m,58.4,F,English,N,Y,Y,N,1,FL-IT-03,VT,AND,,,,,,
20240720_FL1,FL,1,2020-06-12,2024-07-20,4y 1m,49.26666667,M,Chinese,English,Y,Y,N,1,FL-JY-01,VT,AND,,,,,,
20240720_FL2,FL,2,2018-09-09,2024-07-20,5y 10m,70.36666667,M,English,N,N,N,N,0,FL-A-02,LM,AND,,digitized from handwritten notes,,,,
20240720_FL3,FL,3,2021-09-17,2024-07-20,2y 10m,34.1,F,English,N,Y,Y,N,1,FL-S-03,VT,AND,E,frequent parent interruptions,,,,
20240720_FL4,FL,4,2019-04-19,2024-07-20,5y 3m,63.03333333,F,English,N,Y,Y,N,1,FL-A-04,LM,CAT,,,,,,
20240720_FL5,FL,5,2019-12-10,2024-07-20,4y 7m,55.33333333,M,English,N,N,N,N,0,FL-N-05,VT,CAT,,might be - condition,,,,
20240720_FL6,FL,6,2019-06-17,2024-07-20,5y 1m,61.1,F,English,N,Y,N,Y,1,FL-C-06,VT,CAT,,,,,,annotate video
20240720_FL7,FL,7,2020-09-11,2024-07-20,3y 10m,46.3,F,English,N,Y,Y,N,1,FL-ES-07,LM,CAT,,practice annotation on 8/Aug,,,,
20240723_FL1,FL,1,2020-11-22,2024-07-23,3y 8m,44.03333333,M,English,Spanish,N,N,N,0,FL-A-01,LM,idk,Q,Quit,,,,
20240723_FL2,FL,2,2024-02-14,2024-07-23,0y 5m,5.3,M,English,N,N,N,N,0,FL-ES-02,LM,idk,Q,Quit,,,,
20240723_FL3,FL,3,2019-03-31,2024-07-23,5y 3m,63.76666667,M,English,N,Y,Y,Y,1,FL-W-03,LM,AND,,,,zozo3; zogi3,,
20240723_BB1,BB,1,2020-01-29,2024-07-23,4y 5m,53.8,M,English,N,Y,Y,Y,0,BB-S-15,GM,CAT,,,FALSE,,,
20240723_BB2,BB,2,2021-07-02,2024-07-23,3y 0m,36.7,F,English,N,N,N,Y,0,BB-GVG-16,GM,CAT,,,FALSE,,,
20240723_BB3,BB,3,2020-04-02,2024-07-23,4y 3m,51.7,F,English,N,N,N,Y,0,BB-MVG-17,GM,CAT,,,FALSE,,,
20240723_BB4,BB,4,2021-01-19,2024-07-23,3y 6m,42.13333333,F,English,N,Y,N,N,0,BB-JC-07,GM,CAT,,,FALSE,,,
20240723_BB5,BB,5,2021-06-29,2024-07-23,3y 0m,36.8,M,English,N,N,,Y,0,BB-L-02; on doc: BB-L-05,GM,CAT,,,FALSE,,,
20240723_BB6,BB,6,2020-04-22,2024-07-23,4y 3m,51.03333333,F,English,N,Y,,Y,1,BB-JS-01,GM,CAT,,practice annotation on 1/Aug,FALSE,,,
20240724_FL1,FL,1,2021-10-18,2024-07-24,2y 9m,33.2,M,English,N,Y,Y,Y,0,FL-CC-01,VT,na,P,"Didnt play at all, quit before give N",,,,
20240724_FL2,FL,2,2021-06-17,2024-07-24,3y 1m,37.23333333,M,English,N,N,N,N,0,FL-RC-02,VT,na,Q,Quit either before give N or during ,,,,
20240724_FL3,FL,3,2020-05-27,2024-07-24,4y 1m,49.9,F,English,N,Y,Y,Y,1,FL-N-03,VT,AND,,,,,,
20240724_FL4,FL,4,2020-08-17,2024-07-24,3y 11m,47.23333333,F,English,N,N,N,N,0,FL-G-04,VT,AND,,most likely and condition,,,,
20240724_FL5,FL,5,2020-01-27,2024-07-24,4y 5m,53.9,F,English,N,Y,N,Y,1,FL-C-05,VT,na,Q,Quit,,,,
20240724_FL6,FL,6,2019-07-22,2024-07-24,5y 0m,60.06666667,M,English,French,Y,Y,Y,1,FL-IH-06,VT,na,,,,,,
20240724_FL7,FL,7,2020-12-15,2024-07-24,3y 7m,43.3,M,English,Vietnamese,Y,Y,N,1,FL-K-07,VT,AND,,,,,,
20240724_FL8,FL,8,2020-09-29,2024-07-24,3y 9m,45.83333333,F,English,N,Y,Y,N,1,FL-SS-08,VT,AND,,data on back of consent form; didn't pass training,FALSE,,,digitize from notes
20240727_FL1,FL,1,2020-06-27,2024-07-27,4y 1m,49,F,English,French,Y,Y,Y,1,FL-A-01,VT,AND,,,,,,
20240727_FL2,FL,2,2019-12-03,2024-07-27,4y 7m,55.8,F,English,N,Y,Y,Y,1,FL-KG-02,LM,AND,,,,,,
20240727_FL3,FL,3,2018-11-05,2024-07-27,5y 8m,68.73333333,M,English,N,Y,Y,Y,1,FL-T-03,VT,AND,,,,,,
20240727_FL4,FL,4,2020-07-07,2024-07-27,4y 0m,48.66666667,F,English,Y,Y,Y,Y,1,FL-I-04,LM,AND,,,,,,
