,phase,request,target,targetWord,eventType,instrument,starttime,timestamp,duration,PID,condition,KL,grab,onebyone,count,group1,group2,group3,more,response,spontaneousCounting,right,logic,words,comments,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,nonnumber,kidaction,actor,flag,flagged,date,kl,trial_ind,distracted,question,parent,prompt,other,eyes,,correct,ID,cond,age,expr,action_sequence,ngroups,strat_sequence,comments_list,kid_words,temporal_groups,incomplete,unconditioned,mk_acc,g5_acc,gf_acc,gz_acc,training_acc,giraffe_nums
249,Main,zozo1,6,zozo,trial,trialsubmit,1720894185524,1720894227205,41681,FL2,&,,0,6,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL2,CAT,48.93333333,VT, b γ,1,B.,,,1,False,False,0.5,1.0,1.0,1.0,1.0,True
266,Main,zogi1,4,zogi,trial,trialsubmit,1720894539893,1720894586448,46555,FL2,&,,3,0,0,2,1,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,False,20240713_FL2,CAT,48.93333333,VT, g γ δ,2,G.,,,1,False,False,0.5,1.0,1.0,1.0,1.0,True
281,Main,zogi2,4,zogi,trial,trialsubmit,1720894604266,1720894628044,23778,FL2,&,,2,1,0,2,1,0,0,3,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,False,20240713_FL2,CAT,48.93333333,VT, g b γ δ,2,G.B.,,,2,False,False,0.5,1.0,1.0,1.0,1.0,True
296,Main,zozo2,6,zozo,trial,trialsubmit,1720894628048,1720894645194,17146,FL2,&,,6,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL2,CAT,48.93333333,VT, g γ δ,2,G.,,,1,False,False,0.5,1.0,1.0,1.0,1.0,True
319,Main,zogi3,4,zogi,trial,trialsubmit,1720894681783,1720894708079,26296,FL2,&,,3,2,0,2,3,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,False,20240713_FL2,CAT,48.93333333,VT, g b γ δ,2,G.B.,,,2,False,False,0.5,1.0,1.0,1.0,1.0,True
332,Main,zozo3,6,zozo,trial,trialsubmit,1720894708082,1720894727751,19669,FL2,&,,6,0,0,2,2,2,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL2,CAT,48.93333333,VT, g γ δ ε,3,G.,,,1,False,False,0.5,1.0,1.0,1.0,1.0,True
626,Main,zozo1,6,zozo,trial,trialsubmit,1720896480232,1720896505958,25726,FL4,&,,4,0,2,2,2,2,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL4,CAT,61.4,VT, g c γ δ ε,3,G.C.,,,2,False,False,1.0,0.0,0.0,1.0,1.0,False
649,Main,zogi1,4,zogi,trial,trialsubmit,1720896547577,1720896571108,23531,FL4,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL4,CAT,61.4,VT, g γ,1,G.,,,1,False,False,1.0,0.0,0.0,1.0,1.0,False
668,Main,zogi2,4,zogi,trial,trialsubmit,1720896601880,1720896615460,13580,FL4,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL4,CAT,61.4,VT, g γ,1,G.,,,1,False,False,1.0,0.0,0.0,1.0,1.0,False
681,Main,zozo2,6,zozo,trial,trialsubmit,1720896615464,1720896646045,30581,FL4,&,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL4,CAT,61.4,VT, g γ,1,G.,,,1,False,False,1.0,0.0,0.0,1.0,1.0,False
700,Main,zogi3,4,zogi,trial,trialsubmit,1720896684049,1720896695899,11850,FL4,&,,4,0,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL4,CAT,61.4,VT, g γ,1,G.,,,1,False,False,1.0,0.0,0.0,1.0,1.0,False
713,Main,zozo3,6,zozo,trial,trialsubmit,1720896695903,1720896718047,22144,FL4,&,,6,0,0,3,3,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL4,CAT,61.4,VT, g γ δ,2,G.,,,1,False,False,1.0,0.0,0.0,1.0,1.0,False
840,Main,zozo1,6,zozo,trial,trialsubmit,1720897470206,1720897494451,24245,FL5,&,,0,4,0,4,0,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,False,20240713_FL5,CAT,58.13333333,VT, b γ,1,B.,,,1,False,False,0.3333333333333333,0.0,0.5,1.0,1.0,True
861,Main,zogi1,4,zogi,trial,trialsubmit,1720897552292,1720897572140,19848,FL5,&,,4,1,0,5,0,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,False,20240713_FL5,CAT,58.13333333,VT, g b γ,1,G.B.,,,2,False,False,0.3333333333333333,0.0,0.5,1.0,1.0,True
882,Main,zogi2,4,zogi,trial,trialsubmit,1720897591408,1720897608455,17047,FL5,&,,0,5,0,3,2,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,False,20240713_FL5,CAT,58.13333333,VT, b γ δ,2,B.,,,1,False,False,0.3333333333333333,0.0,0.5,1.0,1.0,True
895,Main,zozo2,6,zozo,trial,trialsubmit,1720897608460,1720897624089,15629,FL5,&,,0,6,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL5,CAT,58.13333333,VT, b γ,1,B.,,,1,False,False,0.3333333333333333,0.0,0.5,1.0,1.0,True
914,Main,zogi3,4,zogi,trial,trialsubmit,1720897657393,1720897672229,14836,FL5,&,,0,4,0,3,1,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL5,CAT,58.13333333,VT, b γ δ,2,B.,,,1,False,False,0.3333333333333333,0.0,0.5,1.0,1.0,True
927,Main,zozo3,6,zozo,trial,trialsubmit,1720897672233,1720897691292,19059,FL5,&,,2,3,0,2,3,0,0,5,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,False,20240713_FL5,CAT,58.13333333,VT, g b γ δ,2,G.B.,,,2,False,False,0.3333333333333333,0.0,0.5,1.0,1.0,True
1050,Main,zozo1,6,zozo,trial,trialsubmit,1720898630292,1720898653850,23558,FL6,-,,6,0,0,6,0,0,0,6,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL6,CAT,65.46666667,VT, g γ,1,G.,,,1,False,False,1.0,1.0,1.0,0.5,1.0,True
1073,Main,zogi1,4,zogi,trial,trialsubmit,1720898690571,1720898718887,28316,FL6,-,,3,1,0,3,1,0,0,4,0,0,0,0,,False,False,False,False,False,False,,,,,False,False,False,False,,0,,,0,20240713,,,False,False,False,False,False,,,True,20240713_FL6,CAT,65.46666667,VT, g b γ δ,2,G.B.,,,2,False,False,1.0,1.0,1.0,0.5,1.0,True
